year,region,actual_jun,actual_jul,actual_aug,actual_sep,actual_jjas,anomalypct_jun,anomalypct_jul,anomalypct_aug,anomalypct_sep,anomalypct_jjas
1901,allindia,112.3,241.5,268.9,126.1,748.8,-32.1,-13.9,5.5,-24.9,-13.8
1902,allindia,109,283.2,202.1,201,795.2,-34.1,1,-20.7,19.7,-8.4
1903,allindia,117,292,272,200.1,881.1,-29.2,4.1,6.7,19.2,1.5
1904,allindia,164.4,261.4,204.1,130.6,760.4,-0.5,-6.8,-19.9,-22.2,-12.4
1905,allindia,92.3,251.7,201.3,177.4,722.7,-44.2,-10.2,-21,5.7,-16.8
1906,allindia,177.9,285.5,248.7,183,895.1,7.6,1.8,-2.4,9,3.1
1907,allindia,152.7,223.9,308.9,96.4,781.9,-7.6,-20.1,21.2,-42.6,-10
1908,allindia,126.4,326.1,313.6,152.9,919.1,-23.5,16.3,23,-8.9,5.8
1909,allindia,206.8,308.2,234.5,162.2,911.8,25.1,9.9,-8,-3.4,5
1910,allindia,212.2,246.9,289.6,185.6,934.2,28.4,-11.9,13.6,10.5,7.6
1911,allindia,190.2,163.3,214.7,180.2,748.4,15.1,-41.8,-15.8,7.3,-13.8
1912,allindia,106.8,330.4,262.4,119.4,818.9,-35.4,17.8,2.9,-28.9,-5.7
1913,allindia,213.9,268.1,193.7,109.3,785.1,29.4,-4.4,-24,-34.9,-9.6
1914,allindia,156.5,351.7,242.4,195.3,945.9,-5.3,25.4,-4.9,16.3,8.9
1915,allindia,155.8,230.7,228.6,174.3,789.4,-5.7,-17.7,-10.3,3.8,-9.1
1916,allindia,232.4,271.2,314,200.4,1018.1,40.6,-3.3,23.2,19.4,17.2
1917,allindia,233.1,286.8,297.7,282.3,1099.8,41,2.3,16.8,68.1,26.6
1918,allindia,212.3,186.2,244.2,112.7,755.4,28.4,-33.6,-4.2,-32.9,-13
1919,allindia,195.3,309.5,290,162.8,957.7,18.1,10.4,13.8,-3,10.3
1920,allindia,163.6,297.3,192.7,123.2,776.8,-1,6,-24.4,-26.6,-10.6
1921,allindia,192.3,294.4,279.6,205.1,971.4,16.3,5,9.7,22.2,11.8
1922,allindia,205.1,318.8,220.8,204.1,948.9,24.1,13.7,-13.4,21.6,9.3
1923,allindia,101.7,341.1,277.2,175.1,895,-38.5,21.6,8.7,4.3,3.1
1924,allindia,134.4,330.7,259.8,237.8,962.7,-18.7,17.9,1.9,41.6,10.8
1925,allindia,204.3,306.1,239.1,140,889.5,23.6,9.2,-6.2,-16.6,2.4
1926,allindia,97.4,320.6,337.6,211.7,967.3,-41.1,14.3,32.4,26.1,11.4
1927,allindia,176.9,349.9,260,172.3,959,7,24.8,2,2.6,10.4
1928,allindia,178.8,305.8,233.3,145.9,863.8,8.2,9.1,-8.5,-13.1,-0.5
1929,allindia,194.5,297.7,245.2,125.4,862.9,17.7,6.2,-3.8,-25.3,-0.6
1930,allindia,179.9,292.3,212.9,175.4,860.4,8.8,4.2,-16.5,4.5,-0.9
1931,allindia,132.4,320.9,308.6,191.1,953,-19.9,14.4,21.1,13.8,9.7
1932,allindia,141.5,334.2,239.4,182.3,897.4,-14.4,19.2,-6.1,8.6,3.3
1933,allindia,215.9,284.8,316.4,213.1,1030.3,30.6,1.6,24.1,26.9,18.6
1934,allindia,215.3,285.1,296.8,166.6,963.8,30.2,1.7,16.4,-0.8,11
1935,allindia,158.9,317.3,249,187.1,912.3,-3.9,13.2,-2.3,11.4,5
1936,allindia,246.9,293.5,239.9,195.2,975.5,49.4,4.7,-5.9,16.3,12.3
1937,allindia,163,337.8,209.8,175.6,886.2,-1.4,20.5,-17.7,4.6,2
1938,allindia,273.4,302.5,252.2,170.4,998.5,65.4,7.9,-1.1,1.5,15
1939,allindia,171.5,274,232.2,155.7,833.4,3.8,-2.3,-8.9,-7.3,-4
1940,allindia,174.5,310.7,281.3,125.1,891.5,5.6,10.8,10.4,-25.5,2.6
1941,allindia,170.8,240.5,231.7,155.6,798.5,3.3,-14.2,-9.1,-7.3,-8.1
1942,allindia,190.2,343.8,293.2,182,1009.1,15.1,22.6,15,8.4,16.2
1943,allindia,166.9,311.4,233.6,211.3,923.2,1,11.1,-8.4,25.8,6.3
1944,allindia,154.5,354.4,290.6,155.8,955.4,-6.5,26.4,14,-7.2,10
1945,allindia,156.9,333.3,247.1,214.1,951.4,-5.1,18.9,-3.1,27.5,9.5
1946,allindia,212.7,318.5,297.1,144.2,972.6,28.7,13.6,16.6,-14.1,12
1947,allindia,130.2,313.3,290.8,240.2,974.5,-21.2,11.7,14.1,43.1,12.2
1948,allindia,161.7,345.2,282.8,177.3,967,-2.2,23.1,10.9,5.6,11.3
1949,allindia,162.1,317,242,225.9,946.9,-1.9,13.1,-5.1,34.5,9
1950,allindia,133.8,333.5,234.2,203,904.6,-19.1,18.9,-8.1,20.9,4.2
1951,allindia,160.1,249.5,221.3,123.3,754.2,-3.1,-11,-13.2,-26.6,-13.2
1952,allindia,163.7,284.7,256.1,118.4,822.9,-1,1.5,0.5,-29.5,-5.3
1953,allindia,162.4,321.1,299.7,178.3,961.5,-1.8,14.5,17.6,6.2,10.7
1954,allindia,141.1,293.8,230.8,246.8,912.4,-14.6,4.8,-9.5,47,5.1
1955,allindia,174.7,233.5,321.7,218,947.9,5.7,-16.7,26.2,29.8,9.1
1956,allindia,209.2,363.1,260.8,165.5,998.6,26.6,29.5,2.3,-1.4,15
1957,allindia,154.4,305.5,272.9,131.7,864.5,-6.6,9,7.1,-21.6,-0.5
1958,allindia,122.2,315.6,321.6,231,990.4,-26.1,12.6,26.2,37.6,14
1959,allindia,167.7,374.3,264.8,236.6,1043.3,1.5,33.5,3.9,40.9,20.1
1960,allindia,157.3,317,252.5,181.3,908.1,-4.8,13.1,-0.9,8,4.6
1961,allindia,192.4,337.1,286.4,235.2,1051.1,16.4,20.2,12.4,40.1,21
1962,allindia,135.2,280.8,276.4,210.2,902.5,-18.2,0.1,8.4,25.2,3.9
1963,allindia,166.9,256.8,317.6,165.4,906.7,1,-8.4,24.6,-1.5,4.4
1964,allindia,175.6,343.6,273.2,199.5,991.9,6.2,22.5,7.2,18.8,14.2
1965,allindia,115.5,269.2,192.3,130.1,707.2,-30.1,-4,-24.6,-22.5,-18.6
1966,allindia,176.9,251.5,216.3,147.2,791.8,7,-10.3,-15.1,-12.3,-8.8
1967,allindia,142.8,304.6,264.1,171.3,882.8,-13.6,8.6,3.6,2,1.6
1968,allindia,148,308.4,214.1,128.7,799.3,-10.5,10,-16,-23.3,-8
1969,allindia,130.2,320.6,277,173.8,901.7,-21.2,14.3,8.7,3.5,3.8
1970,allindia,215.8,251.2,318.6,214.5,1000.1,30.6,-10.4,25,27.8,15.2
1971,allindia,228.7,268,268.3,148,913,38.4,-4.4,5.3,-11.9,5.1
1972,allindia,122,204,219.6,128.9,674.4,-26.2,-27.2,-13.8,-23.2,-22.3
1973,allindia,149.5,278.5,312.5,183.6,924.1,-9.6,-0.7,22.6,9.4,6.4
1974,allindia,122.8,280.3,231.3,143.6,778,-25.7,0,-9.3,-14.5,-10.4
1975,allindia,174.8,307.9,288.6,226.7,998,5.7,9.8,13.2,35,14.9
1976,allindia,157.4,291.6,293.3,142.9,885.2,-4.8,4,15.1,-14.9,1.9
1977,allindia,184.8,321.9,245,146.4,898,11.8,14.8,-3.9,-12.8,3.4
1978,allindia,207.1,289.3,281.8,161.5,939.7,25.3,3.2,10.6,-3.8,8.2
1979,allindia,139.1,238,210.2,136,723.3,-15.8,-15.1,-17.5,-19,-16.7
1980,allindia,228.9,296.5,264.3,144.9,934.6,38.5,5.7,3.7,-13.7,7.6
1981,allindia,151.5,309.2,238.6,185.8,885.2,-8.3,10.3,-6.4,10.7,1.9
1982,allindia,136.5,230.5,276.1,126.1,769.2,-17.4,-17.8,8.3,-24.9,-11.4
1983,allindia,150,282.4,305.9,251.9,990.3,-9.3,0.7,20,50,14
1984,allindia,190.7,285.9,265.2,145.3,887.1,15.4,2,4,-13.5,2.1
1985,allindia,154.9,289.8,234.1,151.3,830.1,-6.3,3.4,-8.2,-9.9,-4.4
1986,allindia,180.9,261.5,228.3,124.5,795.1,9.4,-6.7,-10.4,-25.8,-8.5
1987,allindia,130.5,220.1,243.1,150.6,744.4,-21.1,-21.5,-4.6,-10.3,-14.3
1988,allindia,157.7,376.5,300.1,218.4,1052.7,-4.6,34.3,17.7,30.1,21.2
1989,allindia,183.9,302.3,237.1,163.8,887.1,11.3,7.8,-7,-2.4,2.1
1990,allindia,190.5,286.8,290,196.1,963.5,15.2,2.3,13.8,16.8,10.9
1991,allindia,183.6,277,260,135.8,856.5,11.1,-1.2,2,-19.1,-1.4
1992,allindia,136.6,266.5,285,167.9,856,-17.4,-5,11.8,0,-1.4
1993,allindia,169.6,304.5,201.9,209.6,885.6,2.6,8.6,-20.8,24.8,2
1994,allindia,203.1,350.9,285.9,148.9,988.8,22.9,25.1,12.2,-11.3,13.9
1995,allindia,138.1,320.1,267.1,180.2,905.5,-16.5,14.2,4.8,7.3,4.3
1996,allindia,184.4,265.3,300.1,147.8,897.5,11.6,-5.4,17.7,-12,3.3
1997,allindia,171.6,284.7,263,150.8,870.1,3.8,1.5,3.2,-10.2,0.2
1998,allindia,161.6,282.4,248.7,202.9,895.6,-2.2,0.7,-2.4,20.8,3.1
1999,allindia,170.8,266.1,221.9,186.8,845.6,3.3,-5.1,-12.9,11.3,-2.6
2000,allindia,185.2,268.6,225.4,135.8,815,12,-4.2,-11.6,-19.1,-6.2
2001,allindia,215.2,280.1,205.7,109.5,810.4,30.2,-0.1,-19.3,-34.8,-6.7
2002,allindia,169.1,138.5,243.6,136,687.1,2.3,-50.6,-4.4,-19,-20.9
2003,allindia,164.6,303.7,248.3,180.3,896.8,-0.4,8.3,-2.6,7.4,3.3
2004,allindia,166.3,242.7,252.8,123.3,785.1,0.6,-13.4,-0.8,-26.6,-9.6
2005,allindia,145.8,333.4,191.2,201.4,871.8,-11.8,18.9,-25,20,0.4
2006,allindia,151,288,288.2,170.7,898,-8.7,2.7,13.1,1.7,3.4
2007,allindia,199.9,294.3,259.1,213.3,966.6,20.9,5,1.6,27,11.3
2008,allindia,210.5,254.2,265.6,166.8,897.1,27.3,-9.3,4.2,-0.7,3.3
2009,allindia,87.5,285.7,193.5,142.4,709.2,-47.1,1.9,-24.1,-15.2,-18.3
2010,allindia,141.3,299.1,273.3,197.9,911.6,-14.5,6.7,7.2,17.9,5
2011,allindia,183.1,247.8,288.7,191.5,911.1,10.8,-11.6,13.3,14.1,4.9
2012,allindia,120.8,255.2,264.4,196.7,837.1,-26.9,-9,3.7,17.2,-3.6
2013,allindia,220.7,310.3,258.6,153.8,943.4,33.5,10.7,1.5,-8.4,8.6
2014,allindia,92.1,265.5,233.7,189.6,781,-44.3,-5.3,-8.3,12.9,-10.1
2015,allindia,188.4,240.1,199.8,129.9,758.2,14,-14.4,-21.6,-22.6,-12.7
2016,allindia,147.6,308.4,239.7,169.8,865.5,-10.7,10,-6,1.1,-0.3
2017,allindia,172.7,290.3,229.5,153.2,845.7,4.5,3.5,-10,-8.8,-2.6
2018,allindia,156.3,274.2,241,132.5,804,-5.4,-2.2,-5.5,-21.1,-7.4
2019,allindia,113.6,297,299.9,260.2,970.8,-31.3,5.9,17.7,55,11.8
2020,allindia,195.8,257.1,328.2,178.2,959.3,18.5,-8.3,28.8,6.1,10.5
2021,allindia,182.3,266.3,194.3,229.3,872.3,10.3,-5,-23.8,36.6,0.4
2022,allindia,152.3,327.7,263.7,181.3,925,-7.9,16.9,3.4,8,6.5
1901,central,104.2,283.1,325.2,114.6,827.1,-38.8,-11.9,5.3,-35.5,-15.4
1902,central,63.3,333.3,228.4,212,837,-62.8,3.7,-26,19.4,-14.4
1903,central,94.6,380.5,281.4,204.5,960.9,-44.5,18.4,-8.9,15.1,-1.8
1904,central,184.4,265,212.8,156.6,818.9,8.3,-17.5,-31.1,-11.8,-16.3
1905,central,57.6,342.5,172.8,203.2,776.1,-66.2,6.6,-44,14.4,-20.7
1906,central,215.7,354.2,232.5,203.7,1006.1,26.7,10.2,-24.7,14.7,2.9
1907,central,148.3,262.9,405.5,76.3,892.9,-12.9,-18.2,31.3,-57,-8.7
1908,central,142.7,407.3,387.7,132.7,1070.4,-16.2,26.7,25.6,-25.3,9.4
1909,central,211.3,378,202.5,162.8,954.5,24.1,17.6,-34.4,-8.3,-2.4
1910,central,242.3,252,323,225.6,1042.9,42.3,-21.6,4.6,27,6.6
1911,central,209.6,160.6,271.8,172.5,814.5,23.1,-50,-12,-2.9,-16.7
1912,central,88.6,421.2,306.7,114.1,930.5,-48,31.1,-0.7,-35.8,-4.9
1913,central,247.3,354,229.1,103,933.5,45.2,10.1,-25.8,-42,-4.6
1914,central,203.2,409.3,245,239.7,1097.1,19.3,27.3,-20.7,35,12.2
1915,central,166.9,256.8,234.9,183.9,842.5,-2,-20.1,-23.9,3.5,-13.9
1916,central,241.1,265.6,360.8,214.3,1081.8,41.6,-17.4,16.8,20.7,10.6
1917,central,234.2,307.4,343.7,286.4,1171.7,37.5,-4.4,11.3,61.3,19.8
1918,central,202.1,155.6,247.8,84.7,690.2,18.7,-51.6,-19.8,-52.3,-29.4
1919,central,227.7,338.1,423.8,125.6,1115.1,33.7,5.2,37.2,-29.3,14
1920,central,144.8,346.2,189.9,94.9,775.7,-15,7.7,-38.5,-46.6,-20.7
1921,central,185.7,316.1,257,242.8,1001.6,9,-1.6,-16.8,36.7,2.4
1922,central,180.9,353.1,182.3,242.8,959.1,6.2,9.9,-41,36.7,-1.9
1923,central,46.2,400.8,312.8,182.4,942.1,-72.9,24.7,1.3,2.7,-3.7
1924,central,77.2,307.7,282.3,214,881.2,-54.7,-4.3,-8.6,20.5,-9.9
1925,central,244.4,328,247.8,105.7,925.9,43.5,2.1,-19.8,-40.5,-5.3
1926,central,52.2,323.4,456.2,284.2,1116.1,-69.3,0.6,47.7,60,14.1
1927,central,177.6,448.3,266.2,129.4,1021.5,4.3,39.5,-13.8,-27.1,4.4
1928,central,157.8,377.7,222.9,152.8,911.3,-7.3,17.5,-27.8,-14,-6.8
1929,central,158.9,378.5,254.7,129.5,921.5,-6.7,17.8,-17.5,-27.1,-5.8
1930,central,176.2,373.5,203.6,194.1,947.5,3.5,16.2,-34.1,9.3,-3.1
1931,central,85.7,335.3,408.2,192.1,1021.4,-49.7,4.3,32.2,8.2,4.4
1932,central,99.4,489.4,198.5,212.2,999.5,-41.6,52.3,-35.7,19.5,2.2
1933,central,220.6,328.1,358.3,276.1,1183.2,29.5,2.1,16,55.5,21
1934,central,214.1,306.4,376.1,243.2,1139.7,25.7,-4.7,21.8,36.9,16.5
1935,central,133.3,448.1,196.5,202.5,980.4,-21.7,39.4,-36.4,14,0.2
1936,central,293.8,265.1,259.5,203.1,1021.5,72.5,-17.5,-16,14.4,4.4
1937,central,200.3,455.6,192.3,221.6,1069.8,17.6,41.8,-37.7,24.8,9.4
1938,central,289.4,337.4,252.3,156.1,1035.2,69.9,5,-18.3,-12.1,5.8
1939,central,132.5,331.3,332.9,133.9,930.7,-22.2,3.1,7.8,-24.6,-4.8
1940,central,206,400.8,331.2,94.5,1032.5,21,24.7,7.3,-46.8,5.6
1941,central,144.1,313.7,220.9,118.8,797.4,-15.4,-2.4,-28.5,-33.1,-18.5
1942,central,174.3,475.7,333.1,176.8,1159.8,2.3,48,7.9,-0.5,18.6
1943,central,168,397.9,217.2,233.3,1016.4,-1.4,23.8,-29.7,31.4,3.9
1944,central,114.9,521.8,381.3,141.2,1159.1,-32.5,62.4,23.5,-20.5,18.5
1945,central,181.7,406.4,268.4,259.7,1116.2,6.7,26.4,-13.1,46.2,14.1
1946,central,257.4,347.4,378.7,142.8,1126.4,51.1,8.1,22.6,-19.6,15.2
1947,central,99,350.6,369.9,239.4,1059,-41.9,9.1,19.8,34.8,8.3
1948,central,160.5,311.2,289.3,207.4,968.5,-5.8,-3.2,-6.3,16.8,-1
1949,central,129.7,326.9,256.1,297.9,1010.6,-23.8,1.7,-17.1,67.7,3.3
1950,central,94.8,445.9,214.9,202.9,958.5,-44.3,38.7,-30.4,14.2,-2
1951,central,141.4,296.1,271.2,112.6,821.3,-17,-7.9,-12.2,-36.6,-16
1952,central,158.1,363.7,257.5,130.7,910,-7.2,13.2,-16.6,-26.4,-7
1953,central,151.5,320.9,406.1,156.9,1035.4,-11,-0.2,31.5,-11.7,5.9
1954,central,128.9,334.7,260.1,354.5,1078.3,-24.3,4.1,-15.8,99.6,10.2
1955,central,202.1,209.9,389,276.3,1077.4,18.7,-34.7,26,55.6,10.2
1956,central,206.3,468.9,311.1,187.6,1173.8,21.1,45.9,0.7,5.6,20
1957,central,134.2,321.4,332.4,107,895,-21.2,0,7.6,-39.8,-8.5
1958,central,120.1,400.4,323.9,253.8,1098.2,-29.5,24.6,4.9,42.9,12.3
1959,central,155.4,454.3,324.9,299.2,1233.7,-8.7,41.4,5.2,68.5,26.1
1960,central,181.1,323.4,312.3,131.3,948.1,6.3,0.6,1.1,-26.1,-3.1
1961,central,202.6,426.2,314.1,349.9,1292.8,19,32.6,1.7,97,32.2
1962,central,86.9,339,248.3,242.5,916.7,-49,5.5,-19.6,36.5,-6.3
1963,central,151.1,288.5,373.5,186.6,999.7,-11.3,-10.2,21,5.1,2.2
1964,central,164.2,323.8,368.5,187.7,1044.1,-3.6,0.7,19.3,5.7,6.7
1965,central,95.2,342.8,185.2,132.1,755.3,-44.1,6.7,-40,-25.6,-22.8
1966,central,161.7,316,173.5,141.8,792.9,-5,-1.7,-43.8,-20.2,-18.9
1967,central,173.3,378.1,289.7,184.7,1025.8,1.8,17.6,-6.2,4,4.9
1968,central,110.6,324.4,258.2,153,846.4,-35.1,0.9,-16.4,-13.9,-13.5
1969,central,115.1,403.6,271.8,214.6,1005.1,-32.4,25.6,-12,20.8,2.8
1970,central,255.7,281.6,413.7,230.1,1181.2,50.1,-12.4,34,29.6,20.8
1971,central,254.4,296.9,278.9,155.4,985.6,49.4,-7.6,-9.7,-12.5,0.8
1972,central,118.6,223.6,298.5,122.5,763.1,-30.4,-30.4,-3.3,-31,-22
1973,central,98.1,406.6,371.3,226.7,1102.7,-42.4,26.5,20.2,27.6,12.7
1974,central,91.9,243.2,281.3,103.5,719.8,-46,-24.3,-8.9,-41.7,-26.4
1975,central,192.2,300.4,385.7,257.6,1136,12.9,-6.5,24.9,45,16.1
1976,central,162.7,386.7,345.8,151.2,1046.4,-4.5,20.3,12,-14.9,7
