year,region,actual_jun,actual_jul,actual_aug,actual_sep,actual_jjas,anomalypct_jun,anomalypct_jul,anomalypct_aug,anomalypct_sep,anomalypct_jjas
1946,nw,92.3,231.9,235.6,52.1,612,18.2,10.6,19.5,-49.2,4.2
1947,nw,38.6,171.5,203.9,219.1,633,-50.6,-18.2,3.4,113.5,7.7
1948,nw,42.2,263.4,263.9,107.6,677.2,-46,25.6,33.8,4.9,15.2
1949,nw,40.2,258.7,159.3,111.7,569.9,-48.5,23.4,-19.2,8.9,-3
1950,nw,52.4,247.4,223.1,205.1,728.1,-32.9,18,13.1,99.9,23.9
1951,nw,52.2,116,184,71.6,423.8,-33.2,-44.7,-6.7,-30.2,-27.9
1952,nw,117,205,259,30.7,611.7,49.8,-2.2,31.3,-70.1,4.1
1953,nw,75.2,278.9,251.3,98.6,704,-3.7,33,27.4,-3.9,19.8
1954,nw,38.9,201.6,161.5,200.9,602.8,-50.2,-3.9,-18.1,95.8,2.6
1955,nw,79.5,189.6,299.9,164.3,733.3,1.8,-9.6,52.1,60.1,24.8
1956,nw,86.2,308.2,233.2,90.1,717.7,10.4,47,18.3,-12.2,22.1
1957,nw,55.3,224.7,206.6,110.6,597.1,-29.2,7.2,4.8,7.8,1.6
1958,nw,38,248.4,223.6,215.2,725.2,-51.3,18.5,13.4,109.7,23.4
1959,nw,32.3,274.7,225.9,155.4,688.3,-58.6,31,14.6,51.5,17.1
1960,nw,51.1,246.6,250.3,60.2,608.3,-34.6,17.6,26.9,-41.3,3.5
1961,nw,88.7,223.6,263.6,160.7,736.6,13.6,6.6,33.7,56.6,25.4
1962,nw,41.1,195.5,198.3,186.5,621.3,-47.4,-6.8,0.6,81.8,5.7
1963,nw,51.9,145.3,226.6,103.7,527.4,-33.5,-30.7,14.9,1.1,-10.2
1964,nw,60.7,265.9,192.8,132.7,652.1,-22.3,26.8,-2.2,29.3,11
1965,nw,16.9,171.4,124.3,65.2,377.8,-78.4,-18.3,-37,-36.5,-35.7
1966,nw,107.2,147,220.9,101.8,576.9,37.3,-29.9,12,-0.8,-1.8
1967,nw,59.7,195.7,278,127.9,661.3,-23.6,-6.7,41,24.7,12.5
1968,nw,50.9,253.1,166.5,34.4,504.8,-34.8,20.7,-15.6,-66.5,-14.1
1969,nw,28.1,207.1,214.2,119.6,569,-64,-1.2,8.6,16.6,-3.2
1970,nw,104.6,126.4,221.6,145.3,597.9,33.9,-39.7,12.4,41.6,1.8
1971,nw,140.4,209.4,218.8,85,653.7,79.8,-0.1,11,-17.2,11.2
1972,nw,40.5,136.2,178.7,72.4,427.9,-48.1,-35.1,-9.4,-29.4,-27.2
1973,nw,68.8,191.1,299.5,105.9,665.2,-11.9,-8.9,51.9,3.2,13.2
1974,nw,60.2,216.3,133.9,43.1,453.4,-22.9,3.1,-32.1,-58,-22.8
1975,nw,104,272.1,248.8,156.2,781.2,33.2,29.8,26.2,52.2,32.9
1976,nw,62.8,183.4,266.8,110.1,623.1,-19.6,-12.5,35.3,7.3,6
1977,nw,78.4,292.2,157.7,112.8,641.1,0.4,39.3,-20,9.9,9.1
1978,nw,113.4,255.1,227.1,113.7,709.3,45.2,21.6,15.2,10.8,20.7
1979,nw,52.3,183.6,106.9,35.5,378.3,-33,-12.4,-45.8,-65.4,-35.6
1980,nw,105.3,284.4,175.2,82.6,647.5,34.8,35.6,-11.2,-19.5,10.2
1981,nw,66.8,267.4,124.7,84.4,543.3,-14.5,27.5,-36.8,-17.7,-7.5
1982,nw,49.9,147.6,228.6,69.2,495.3,-36.1,-29.6,15.9,-32.6,-15.7
1983,nw,66,217.1,230.1,156.9,670.1,-15.5,3.5,16.7,52.9,14
1984,nw,101.5,181.6,213.9,108.3,605.2,30,-13.4,8.5,5.6,3
1985,nw,44.6,256.5,186.9,108.5,596.4,-42.9,22.3,-5.2,5.8,1.5
1986,nw,73,230.1,174.1,56.1,533.4,-6.5,9.7,-11.7,-45.3,-9.2
1987,nw,57.4,88.9,136.5,74.4,357.3,-26.5,-57.6,-30.8,-27.5,-39.2
1988,nw,78,316.8,238.6,180.1,813.5,-0.1,51.1,21,75.5,38.4
1989,nw,68.8,215.6,187.8,80.1,552.3,-11.9,2.8,-4.8,-21.9,-6
1990,nw,66.8,276.4,198,141.1,682.3,-14.5,31.8,0.4,37.5,16.1
1991,nw,56.3,140,226.2,92.4,514.8,-27.9,-33.2,14.7,-9.9,-12.4
1992,nw,35.2,194.2,245.7,157.1,632.1,-54.9,-7.4,24.6,53.1,7.6
1993,nw,92.1,246.7,92.3,155.8,586.9,17.9,17.6,-53.2,51.9,-0.1
1994,nw,88.5,298.6,257.4,92.5,737,13.3,42.4,30.5,-9.8,25.4
1995,nw,59.7,253.4,276.6,127.4,717.1,-23.6,20.8,40.3,24.2,22
1996,nw,151,162.7,316.8,98.5,729.1,93.3,-22.4,60.6,-4,24.1
1997,nw,78.3,176.2,188.5,55.9,498.9,0.3,-16,-4.4,-45.5,-15.1
1998,nw,70.9,177.8,171,110.9,530.7,-9.2,-15.2,-13.3,8.1,-9.7
1999,nw,69.2,191.5,157.5,111.6,529.9,-11.4,-8.7,-20.1,8.8,-9.8
2000,nw,101.8,228.8,146.3,78.3,555.2,30.3,9.1,-25.8,-23.7,-5.5
2001,nw,138.9,246.4,138.4,44.1,567.9,77.8,17.5,-29.8,-57,-3.4
2002,nw,60.6,56.4,164.6,117.7,399.2,-22.4,-73.1,-16.5,14.7,-32.1
2003,nw,68.2,231.6,199.8,155.1,654.7,-12.7,10.4,1.3,51.2,11.4
2004,nw,78.7,129.1,187.3,49.7,444.8,0.8,-38.4,-5,-51.6,-24.3
2005,nw,46.2,254.5,100.7,131.2,532.6,-40.8,21.4,-48.9,27.9,-9.4
2006,nw,71.7,196,203.4,87.1,558.2,-8.2,-6.5,3.1,-15.1,-5
2007,nw,87.4,176.7,175.2,78.2,517.5,11.9,-15.7,-11.2,-23.8,-11.9
2008,nw,165.3,219.1,198.1,83.7,666.2,111.7,4.5,0.5,-18.4,13.4
2009,nw,37.1,146.8,120,85.4,389.3,-52.5,-30,-39.1,-16.8,-33.7
2010,nw,53.9,219.3,231.1,159.7,664.1,-31,4.6,17.2,55.7,13
2011,nw,118.5,164.7,235.6,129.5,648.3,51.7,-21.5,19.5,26.2,10.3
2012,nw,21.2,155.4,246.7,134.7,558,-72.9,-25.9,25.1,31.3,-5
2013,nw,153.7,217.3,254,68.2,693.2,96.8,3.6,28.8,-33.5,18
2014,nw,31.7,171.3,137.7,163.3,504.1,-59.4,-18.3,-30.2,59.2,-14.2
2015,nw,93.8,235.5,133,57.7,520,20.1,12.3,-32.6,-43.8,-11.5
2016,nw,64.5,239.5,227.7,54.2,585.9,-17.4,14.2,15.5,-47.2,-0.3
2017,nw,106.8,233.4,144.1,69.9,554.2,36.7,11.3,-26.9,-31.9,-5.7
2018,nw,82.2,202.6,196.1,122.7,603.5,5.2,-3.4,-0.6,19.6,2.7
2019,nw,52.7,211.9,207.2,119.1,591,-32.5,1,5.1,16.1,0.6
2020,nw,77.6,155.2,212.3,58.7,503.8,-0.6,-26,7.7,-42.8,-14.3
2021,nw,84.9,197.1,138.4,152.2,572.7,8.7,-6,-29.8,48.3,-2.5
2022,nw,68.6,232.3,177,116.3,594.3,-12.2,10.8,-10.2,13.3,1.1
NA,sthpeninsula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1901,sthpeninsula,155.8,197.7,147.5,138.2,639.2,-3.2,-3.3,-22.6,-13.6,-10.7
1902,sthpeninsula,117.5,212,165.1,196.3,690.8,-27,3.7,-13.4,22.7,-3.5
1903,sthpeninsula,140,300.4,212.6,211.5,864.5,-13,46.9,11.5,32.2,20.7
1904,sthpeninsula,191.3,187.1,91,136.4,605.7,18.8,-8.5,-52.3,-14.8,-15.4
1905,sthpeninsula,155.6,120.7,192.9,105.7,575,-3.4,-41,1.2,-33.9,-19.7
1906,sthpeninsula,180.1,224.5,225.9,114.7,745.2,11.9,9.8,18.5,-28.3,4.1
1907,sthpeninsula,187,206.6,221.6,126.2,741.4,16.1,1,16.3,-21.1,3.5
1908,sthpeninsula,121.2,239.1,155.4,245,760.7,-24.7,16.9,-18.5,53.1,6.2
1909,sthpeninsula,149.7,218.9,201.4,140.7,710.7,-7,7,5.7,-12.1,-0.8
1910,sthpeninsula,180.1,205.6,208,175.6,769.2,11.9,0.5,9.1,9.8,7.4
1911,sthpeninsula,184.2,188,101.7,108.5,582.5,14.4,-8.1,-46.6,-32.2,-18.7
1912,sthpeninsula,136.4,250.9,201.1,143.8,732.1,-15.3,22.7,5.5,-10.1,2.2
1913,sthpeninsula,130.6,224.5,96.9,134.8,586.7,-18.9,9.8,-49.2,-15.7,-18.1
1914,sthpeninsula,152.5,279.5,211.4,199.2,842.5,-5.3,36.7,10.9,24.5,17.7
1915,sthpeninsula,190.5,196.8,144.4,194.8,726.5,18.3,-3.8,-24.2,21.8,1.5
1916,sthpeninsula,193.2,261.3,191.9,194.9,841.2,20,27.8,0.7,21.8,17.5
1917,sthpeninsula,202.5,160.7,202.6,251.4,817.3,25.8,-21.4,6.3,57.1,14.1
1918,sthpeninsula,106.2,88.3,122.3,119,435.8,-34,-56.8,-35.8,-25.6,-39.1
1919,sthpeninsula,164.3,190.3,119.6,187.8,661.9,2,-6.9,-37.3,17.4,-7.6
1920,sthpeninsula,152.8,182,116.4,135.8,587,-5.1,-11,-38.9,-15.1,-18
1921,sthpeninsula,141,228.7,185.5,130.6,685.8,-12.4,11.8,-2.7,-18.4,-4.2
1922,sthpeninsula,141.9,220.3,126.3,109.3,597.8,-11.9,7.7,-33.7,-31.7,-16.5
1923,sthpeninsula,110.1,280.3,161.2,179.4,731,-31.6,37.1,-15.4,12.1,2.1
1924,sthpeninsula,152.6,301,172.4,208.2,834.2,-5.2,47.2,-9.5,30.1,16.5
1925,sthpeninsula,157.6,208.5,194.7,101.9,662.7,-2.1,2,2.2,-36.3,-7.5
1926,sthpeninsula,111.8,222.5,190.9,158.8,684,-30.6,8.8,0.2,-0.7,-4.5
1927,sthpeninsula,181.6,238.7,143.7,171.3,735.4,12.8,16.7,-24.6,7.1,2.7
1928,sthpeninsula,153.9,189.6,175.7,143.4,662.6,-4.4,-7.3,-7.8,-10.4,-7.5
1929,sthpeninsula,209.8,154.4,118.5,175.5,658.2,30.3,-24.5,-37.8,9.7,-8.1
1930,sthpeninsula,179.9,123.3,107.9,174.8,585.8,11.7,-39.7,-43.4,9.3,-18.2
1931,sthpeninsula,149.8,219.1,217.4,169.7,756.1,-7,7.1,14.1,6.1,5.6
1932,sthpeninsula,99.3,222.5,192,137.1,650.9,-38.3,8.8,0.7,-14.3,-9.1
1933,sthpeninsula,191.6,221.7,204.8,189.2,807.3,19,8.4,7.5,18.2,12.7
1934,sthpeninsula,177.4,202.4,161.9,82.6,624.2,10.2,-1,-15.1,-48.4,-12.8
1935,sthpeninsula,135.3,206.1,190.3,145.9,677.6,-16,0.8,-0.2,-8.8,-5.4
1936,sthpeninsula,181,198,141.4,150.8,671.3,12.4,-3.2,-25.8,-5.7,-6.3
1937,sthpeninsula,115,245,113.9,128.1,602,-28.6,19.8,-40.2,-19.9,-15.9
1938,sthpeninsula,186.7,207.2,216.8,203.9,814.6,16,1.3,13.7,27.4,13.8
1939,sthpeninsula,131.1,171.7,171.3,124.2,598.2,-18.6,-16,-10.1,-22.4,-16.5
1940,sthpeninsula,161.5,218.9,219.9,110.5,710.7,0.3,7,15.4,-30.9,-0.8
1941,sthpeninsula,160.8,131.6,142.8,170.9,606,-0.1,-35.6,-25.1,6.8,-15.4
1942,sthpeninsula,183.7,208.8,184.1,94.4,671.1,14.1,2.1,-3.4,-41,-6.3
1943,sthpeninsula,161.9,200.1,98.9,185.8,646.7,0.6,-2.2,-48.1,16.1,-9.7
1944,sthpeninsula,139.3,226.4,114.3,145.3,625.4,-13.5,10.7,-40,-9.2,-12.7
1945,sthpeninsula,116.3,250.8,161.2,112.1,640.4,-27.8,22.6,-15.4,-29.9,-10.6
1946,sthpeninsula,187.7,202.1,207.2,142.2,739.3,16.6,-1.2,8.7,-11.1,3.2
1947,sthpeninsula,129.6,247.3,253.9,192.7,823.6,-19.5,20.9,33.2,20.4,15
1948,sthpeninsula,146.4,198.3,191.9,137.6,674.1,-9.1,-3,0.7,-14,-5.9
1949,sthpeninsula,146.6,237.9,181.4,197.5,763.4,-8.9,16.3,-4.8,23.4,6.6
1950,sthpeninsula,124.5,245.3,147.9,197,714.7,-22.7,20,-22.4,23.1,-0.2
1951,sthpeninsula,162.5,240.8,118.3,146.5,668.2,0.9,17.8,-37.9,-8.4,-6.7
1952,sthpeninsula,123.7,162.5,143.2,78.4,507.8,-23.2,-20.5,-24.9,-51,-29.1
1953,sthpeninsula,158.2,280,175.1,165.6,778.9,-1.7,36.9,-8.1,3.5,8.8
1954,sthpeninsula,160.3,277.8,196.5,141.4,776.1,-0.4,35.8,3.1,-11.6,8.4
1955,sthpeninsula,179.5,158.2,219,196.9,753.6,11.5,-22.6,14.9,23.1,5.2
1956,sthpeninsula,206.1,276.1,148.1,159,789.3,28,35,-22.3,-0.6,10.2
1957,sthpeninsula,196.8,213.7,198.7,90.8,700.1,22.2,4.5,4.2,-43.3,-2.2
1958,sthpeninsula,143.1,259.9,246.4,121.8,771.3,-11.1,27.1,29.3,-23.9,7.7
1959,sthpeninsula,221.7,322.1,192,180.5,916.4,37.7,57.5,0.7,12.8,28
1960,sthpeninsula,150.1,221.9,96.6,227.8,696.5,-6.8,8.5,-49.3,42.4,-2.7
1961,sthpeninsula,204.5,344,204.9,143.3,896.7,27,68.2,7.5,-10.4,25.2
1962,sthpeninsula,92.9,243.9,229.6,202.9,769.2,-42.3,19.3,20.5,26.8,7.4
1963,sthpeninsula,143,185.6,241.3,111.1,681,-11.2,-9.2,26.6,-30.6,-4.9
1964,sthpeninsula,123.2,248.8,217.9,250.6,840.5,-23.5,21.7,14.3,56.6,17.4
1965,sthpeninsula,136.6,214.8,174.7,137,663.2,-15.2,5,-8.3,-14.4,-7.4
1966,sthpeninsula,109,235,142,185,671,-32.3,14.9,-25.5,15.6,-6.3
1967,sthpeninsula,143.8,271.9,155.1,119.3,690.2,-10.7,33,-18.6,-25.4,-3.6
1968,sthpeninsula,138.7,260.4,89.4,195.4,684,-13.9,27.3,-53.1,22.1,-4.5
1969,sthpeninsula,125,239,174,131.5,669.5,-22.4,16.9,-8.7,-17.8,-6.5
1970,sthpeninsula,155.7,195.6,254.8,150.2,756.3,-3.3,-4.4,33.7,-6.1,5.6
1971,sthpeninsula,177.7,155.1,167.1,143.9,643.8,10.4,-24.2,-12.3,-10.1,-10.1
1972,sthpeninsula,145.4,176.3,89.7,145.3,556.7,-9.7,-13.8,-52.9,-9.2,-22.3
1973,sthpeninsula,161.7,191.2,223,118.2,694.2,0.4,-6.5,17,-26.1,-3.1
1974,sthpeninsula,102.5,217.4,159.8,213.9,693.6,-36.3,6.3,-16.2,33.7,-3.1
1975,sthpeninsula,200.6,240.9,215.1,235.8,892.4,24.6,17.8,12.9,47.4,24.6
1976,sthpeninsula,90.7,244.7,207.9,95.7,639.1,-43.7,19.7,9.1,-40.2,-10.8
1977,sthpeninsula,160,213.3,166.2,112.2,651.6,-0.6,4.3,-12.8,-29.9,-9
1978,sthpeninsula,197.1,258.1,223.5,165.1,843.7,22.4,26.2,17.3,3.2,17.8
1979,sthpeninsula,152.9,173.5,148.5,215.1,689.9,-5,-15.2,-22.1,34.4,-3.7
1980,sthpeninsula,212.5,212.8,199.3,118.2,742.8,32,4.1,4.6,-26.1,3.7
1981,sthpeninsula,186.2,203.8,229,256.5,875.5,15.7,-0.3,20.1,60.3,22.3
1982,sthpeninsula,150.3,200.2,183.8,129.2,663.5,-6.6,-2.1,-3.6,-19.3,-7.3
1983,sthpeninsula,157.2,220.9,286.6,250.3,914.9,-2.4,8,50.4,56.4,27.8
1984,sthpeninsula,161,257.3,102,141.5,661.9,0,25.8,-46.5,-11.6,-7.6
1985,sthpeninsula,190.7,166.8,159.4,108,624.9,18.4,-18.4,-16.4,-32.5,-12.7
1986,sthpeninsula,162.2,140.2,216.9,129.7,648.9,0.7,-31.4,13.8,-18.9,-9.4
1987,sthpeninsula,141.3,119.2,185.7,111.1,557.3,-12.2,-41.7,-2.6,-30.6,-22.2
1988,sthpeninsula,112.9,305.7,253.1,235.5,907.3,-29.9,49.5,32.8,47.2,26.7
1989,sthpeninsula,175.6,301.8,156.2,173.2,806.8,9.1,47.6,-18,8.2,12.7
1990,sthpeninsula,158.3,159.6,228.9,115.7,662.5,-1.7,-22,20.1,-27.7,-7.5
1991,sthpeninsula,269.5,238.1,161,126,794.6,67.4,16.4,-15.5,-21.3,11
1992,sthpeninsula,181.9,198.9,203.4,139.9,724.1,13,-2.7,6.7,-12.6,1.1
1993,sthpeninsula,130.2,224.8,152.7,124.6,632.3,-19.1,9.9,-19.9,-22.1,-11.7
1994,sthpeninsula,162,274.7,175.1,90.6,702.3,0.6,34.3,-8.1,-43.4,-1.9
1995,sthpeninsula,124.9,249.2,199.6,135.3,709,-22.4,21.9,4.7,-15.4,-1
1996,sthpeninsula,213.4,194.8,205.8,188.8,802.8,32.5,-4.7,8,18,12.1
1997,sthpeninsula,147,244.6,197.1,168.5,757.3,-8.7,19.6,3.4,5.3,5.8
1998,sthpeninsula,165.3,229.4,214.6,219.3,828.5,2.7,12.2,12.6,37.1,15.7
1999,sthpeninsula,141.1,213.2,142.1,110.1,606.5,-12.4,4.3,-25.4,-31.2,-15.3
2000,sthpeninsula,195.5,169.7,289.8,134.8,789.8,21.4,-17,52,-15.7,10.3
2001,sthpeninsula,150.2,147.2,154.7,154.9,606.9,-6.7,-28,-18.8,-3.2,-15.2
2002,sthpeninsula,136.4,89.3,172.3,68.9,466.9,-15.3,-56.3,-9.6,-56.9,-34.8
2003,sthpeninsula,131.3,203,164.1,86.1,584.5,-18.4,-0.7,-13.9,-46.2,-18.4
2004,sthpeninsula,144.5,174.6,140.2,143.1,602.3,-10.2,-14.6,-26.4,-10.6,-15.9
2005,sthpeninsula,138,281.7,156.4,217.8,793.7,-14.3,37.8,-17.9,36.1,10.8
2006,sthpeninsula,159,161.7,180.9,188.5,690.1,-1.2,-20.9,-5.1,17.8,-3.6
2007,sthpeninsula,241.8,216.5,223.3,227,908.6,50.2,5.9,17.2,41.9,26.9
2008,sthpeninsula,135.1,174.9,242.6,147.3,699.9,-16.1,-14.5,27.3,-7.9,-2.3
2009,sthpeninsula,110.4,221.8,155.7,193.7,681.7,-31.4,8.5,-18.3,21.1,-4.8
2010,sthpeninsula,161.1,273.6,227,172.8,834.6,0.1,33.8,19.1,8,16.5
2011,sthpeninsula,156.9,213.6,212.9,125.8,709.2,-2.5,4.4,11.7,-21.4,-1
2012,sthpeninsula,109.9,179.8,206.3,145.2,641.3,-31.7,-12.1,8.2,-9.3,-10.4
2013,sthpeninsula,205.1,279.7,168.1,180.2,833.1,27.4,36.8,-11.8,12.6,16.3
2014,sthpeninsula,94.7,204.4,228.8,136.4,664.4,-41.2,0,20,-14.8,-7.2
2015,sthpeninsula,186.8,114,147.3,157.5,605.5,16,-44.3,-22.7,-1.6,-15.4
2016,sthpeninsula,198.3,191.2,110,161.8,661.2,23.2,-6.5,-42.3,1.1,-7.7
2017,sthpeninsula,170.8,140.1,208.7,197.1,716.7,6.1,-31.5,9.5,23.2,0.1
2018,sthpeninsula,182.5,200.2,221.2,96.9,700.9,13.4,-2.1,16.1,-39.4,-2.1
2019,sthpeninsula,112.2,192.8,293.9,239.3,838.2,-30.3,-5.7,54.2,49.6,17.1
2020,sthpeninsula,171.9,251.3,256.2,259.4,938.8,6.8,22.9,34.4,62.1,31.1
2021,sthpeninsula,166.4,275.5,168.4,195.1,805.4,3.4,34.7,-11.6,21.9,12.5
2022,sthpeninsula,138.9,328.1,242.2,166.8,876.1,-13.7,60.4,27.1,4.2,22.3
